director_name,duration,gross,genres,movie_title,language,country,budget,title_year,imdb_score,Genre
RobMarshall,136,241063875,Action|Adventure|Fantasy,PiratesoftheCaribbean:OnStrangerTides†,English,USA,250000000,2011,6.7,Action
BarrySonnenfeld,106,179020854,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,MeninBlack3†,English,USA,225000000,2012,6.8,Action
PeterJackson,164,255108370,Adventure|Fantasy,TheHobbit:TheBattleoftheFiveArmies†,English,NewZealand,250000000,2014,7.5,Adventure
MarcWebb,153,262030663,Action|Adventure|Fantasy,TheAmazingSpider-Man†,English,USA,230000000,2012,7,Action
RidleyScott,156,105219735,Action|Adventure|Drama|History,RobinHood†,English,USA,200000000,2010,6.7,Action
PeterJackson,186,258355354,Adventure|Fantasy,TheHobbit:TheDesolationofSmaug†,English,USA,225000000,2013,7.9,Adventure
ChrisWeitz,113,70083519,Adventure|Family|Fantasy,TheGoldenCompass†,English,USA,180000000,2007,6.1,Adventure
PeterJackson,201,218051260,Action|Adventure|Drama|Romance,KingKong†,English,NewZealand,207000000,2005,7.2,Action
JamesCameron,194,658672302,Drama|Romance,Titanic†,English,USA,200000000,1997,7.7,Drama
AnthonyRusso,147,407197282,Action|Adventure|Sci-Fi,CaptainAmerica:CivilWar†,English,USA,250000000,2016,8.2,Action
PeterBerg,131,65173160,Action|Adventure|Sci-Fi|Thriller,Battleship†,English,USA,209000000,2012,5.9,Action
ColinTrevorrow,124,652177271,Action|Adventure|Sci-Fi|Thriller,JurassicWorld†,English,USA,150000000,2015,7,Action
SamMendes,143,304360277,Action|Adventure|Thriller,Skyfall†,English,UK,200000000,2012,7.8,Action
SamRaimi,135,373377893,Action|Adventure|Fantasy|Romance,Spider-Man2†,English,USA,200000000,2004,7.3,Action
ShaneBlack,195,408992272,Action|Adventure|Sci-Fi,IronMan3†,English,USA,200000000,2013,7.2,Action
TimBurton,108,334185206,Adventure|Family|Fantasy,AliceinWonderland†,English,USA,200000000,2010,6.5,Adventure
BrettRatner,104,234360014,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men:TheLastStand†,English,Canada,210000000,2006,6.8,Action
DanScanlon,104,268488329,Adventure|Animation|Comedy|Family|Fantasy,MonstersUniversity†,English,USA,200000000,2013,7.3,Adventure
MichaelBay,150,402076689,Action|Adventure|Sci-Fi,Transformers:RevengeoftheFallen†,English,USA,200000000,2009,6,Action
MichaelBay,165,245428137,Action|Adventure|Sci-Fi,Transformers:AgeofExtinction†,English,USA,210000000,2014,5.7,Action
SamRaimi,130,234903076,Adventure|Family|Fantasy,OztheGreatandPowerful†,English,USA,215000000,2013,6.4,Adventure
MarcWebb,142,202853933,Action|Adventure|Fantasy|Sci-Fi,TheAmazingSpider-Man2†,English,USA,200000000,2014,6.7,Action
JosephKosinski,125,172051787,Action|Adventure|Sci-Fi,TRON:Legacy†,English,USA,170000000,2010,6.8,Action
JohnLasseter,106,191450875,Adventure|Animation|Comedy|Family|Sport,Cars2†,English,USA,200000000,2011,6.3,Adventure
MartinCampbell,123,116593191,Action|Adventure|Sci-Fi,GreenLantern†,English,USA,200000000,2011,5.6,Action
LeeUnkrich,103,414984497,Adventure|Animation|Comedy|Family|Fantasy,ToyStory3†,English,USA,200000000,2010,8.3,Adventure
McG,118,125320003,Action|Adventure|Sci-Fi,TerminatorSalvation†,English,USA,200000000,2009,6.6,Action
JamesWan,140,350034110,Action|Crime|Thriller,Furious7†,English,USA,190000000,2015,7.2,Action
MarcForster,123,202351611,Action|Adventure|Horror|Sci-Fi|Thriller,WorldWarZ†,English,USA,190000000,2013,7,Action
BryanSinger,149,233914986,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men:DaysofFuturePast†,English,USA,200000000,2014,8,Action
J.J.Abrams,132,228756232,Action|Adventure|Sci-Fi,StarTrekIntoDarkness†,English,USA,190000000,2013,7.8,Action
BryanSinger,114,65171860,Adventure|Fantasy,JacktheGiantSlayer†,English,USA,195000000,2013,6.3,Adventure
BazLuhrmann,143,144812796,Drama|Romance,TheGreatGatsby†,English,Australia,105000000,2013,7.3,Drama
MikeNewell,116,90755643,Action|Adventure|Fantasy|Romance,PrinceofPersia:TheSandsofTime†,English,USA,200000000,2010,6.6,Action
GuillermodelToro,131,101785482,Action|Adventure|Sci-Fi,PacificRim†,English,USA,190000000,2013,7,Action
MichaelBay,154,352358779,Action|Adventure|Sci-Fi,Transformers:DarkoftheMoon†,English,USA,195000000,2011,6.3,Action
StevenSpielberg,122,317011114,Action|Adventure|Fantasy,IndianaJonesandtheKingdomoftheCrystalSkull†,English,USA,185000000,2008,6.2,Action
MarkAndrews,93,237282182,Adventure|Animation|Comedy|Family|Fantasy,Brave†,English,USA,185000000,2012,7.2,Adventure
JustinLin,122,130468626,Action|Adventure|Sci-Fi|Thriller,StarTrekBeyond†,English,USA,185000000,2016,7.5,Action
AndrewStanton,98,223806889,Adventure|Animation|Family|Sci-Fi,WALL∑E†,English,USA,180000000,2008,8.4,Adventure
BrettRatner,91,140080850,Action|Comedy|Crime|Thriller,RushHour3†,English,USA,140000000,2007,6.2,Action
RolandEmmerich,158,166112167,Action|Adventure|Sci-Fi,2012†,English,USA,200000000,2009,5.8,Action
RobertZemeckis,96,137850096,Animation|Drama|Family|Fantasy,AChristmasCarol†,English,USA,200000000,2009,6.8,Animation
LanaWachowski,127,47375327,Action|Adventure|Sci-Fi,JupiterAscending†,English,USA,176000000,2015,5.4,Action
DavidYates,110,124051759,Action|Adventure|Drama|Romance,TheLegendofTarzan†,English,USA,180000000,2016,6.6,Action
AndrewAdamson,150,291709845,Adventure|Family|Fantasy,"TheChroniclesofNarnia:TheLion,theWitchandtheWardrobe†",English,USA,180000000,2005,6.9,Adventure
BryanSinger,144,154985087,Action|Adventure|Sci-Fi,X-Men:Apocalypse†,English,USA,178000000,2016,7.3,Action
ChristopherNolan,152,533316061,Action|Crime|Drama|Thriller,TheDarkKnight†,English,USA,185000000,2008,9,Action
PeteDocter,96,292979556,Adventure|Animation|Comedy|Family,Up†,English,USA,175000000,2009,8.3,Adventure
RobLetterman,94,198332128,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Monstersvs.Aliens†,English,USA,175000000,2009,6.5,Action
JonFavreau,126,318298180,Action|Adventure|Sci-Fi,IronMan†,English,USA,140000000,2008,7.9,Action
MartinScorsese,126,73820094,Adventure|Drama|Family|Mystery,Hugo†,English,USA,170000000,2011,7.5,Adventure
BarrySonnenfeld,106,113745408,Action|Comedy|Sci-Fi|Western,WildWildWest†,English,USA,170000000,1999,4.8,Action
RobCohen,112,102176165,Action|Adventure|Fantasy|Horror|Thriller,TheMummy:TomboftheDragonEmperor†,English,USA,145000000,2008,5.2,Action
DavidAyer,123,161087183,Action|Adventure|Comedy|Sci-Fi,SuicideSquad†,English,USA,175000000,2016,6.9,Action
TomShadyac,96,100289690,Comedy|Family|Fantasy,EvanAlmighty†,English,USA,175000000,2007,5.4,Comedy
DougLiman,113,100189501,Action|Adventure|Sci-Fi,EdgeofTomorrow†,English,USA,178000000,2014,7.9,Action
KevinReynolds,176,88246220,Action|Adventure|Sci-Fi|Thriller,Waterworld†,English,USA,175000000,1995,6.1,Action
StephenSommers,118,150167630,Action|Adventure|Sci-Fi|Thriller,G.I.Joe:TheRiseofCobra†,English,USA,175000000,2009,5.8,Action
PeteDocter,95,356454367,Adventure|Animation|Comedy|Drama|Family|Fantasy,InsideOut†,English,USA,175000000,2015,8.3,Adventure
JonFavreau,106,362645141,Adventure|Drama|Family|Fantasy,TheJungleBook†,English,UK,175000000,2016,7.8,Adventure
JonFavreau,124,312057433,Action|Adventure|Sci-Fi,IronMan2†,English,USA,200000000,2010,7,Action
RupertSanders,132,155111815,Action|Adventure|Drama|Fantasy,SnowWhiteandtheHuntsman†,English,USA,170000000,2012,6.1,Action
RobertStromberg,97,241407328,Action|Adventure|Family|Fantasy|Romance,Maleficent†,English,USA,180000000,2014,7,Action
MattReeves,130,208543795,Action|Adventure|Drama|Sci-Fi,DawnofthePlanetoftheApes†,English,USA,170000000,2014,7.6,Action
CarlRinsch,128,38297305,Action|Adventure|Drama|Fantasy,47Ronin†,English,USA,175000000,2013,6.3,Action
AnthonyRusso,136,259746958,Action|Adventure|Sci-Fi,CaptainAmerica:TheWinterSoldier†,English,USA,170000000,2014,7.8,Action
MikeMitchell,93,238371987,Adventure|Animation|Comedy|Family|Fantasy,ShrekForeverAfter†,English,USA,165000000,2010,6.4,Adventure
BradBird,130,93417865,Action|Adventure|Family|Mystery|Sci-Fi,Tomorrowland†,English,USA,190000000,2015,6.5,Action
DonHall,102,222487711,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,BigHero6†,English,USA,165000000,2014,7.9,Action
RichMoore,101,189412677,Adventure|Animation|Comedy|Family|Sci-Fi,Wreck-ItRalph†,English,USA,165000000,2012,7.8,Adventure
RobertZemeckis,100,665426,Adventure|Animation|Family|Fantasy,ThePolarExpress†,English,USA,165000000,2004,6.6,Adventure
RolandEmmerich,120,102315545,Action|Adventure|Sci-Fi,IndependenceDay:Resurgence†,English,USA,165000000,2016,5.5,Action
DeanDeBlois,98,217387997,Adventure|Animation|Family|Fantasy,HowtoTrainYourDragon†,English,USA,165000000,2010,8.2,Adventure
JonathanMostow,109,150350192,Action|Sci-Fi,Terminator3:RiseoftheMachines†,English,USA,200000000,2003,6.4,Action
JamesGunn,121,333130696,Action|Adventure|Sci-Fi,GuardiansoftheGalaxy†,English,USA,170000000,2014,8.1,Action
ChristopherNolan,169,187991439,Adventure|Drama|Sci-Fi,Interstellar†,English,USA,165000000,2014,8.6,Adventure
ChristopherNolan,148,292568851,Action|Adventure|Sci-Fi|Thriller,Inception†,English,USA,160000000,2010,8.8,Action
PeterJackson,182,303001229,Adventure|Fantasy,TheHobbit:AnUnexpectedJourney†,English,USA,180000000,2012,7.9,Adventure
RobCohen,106,144512310,Action|Crime|Thriller,TheFastandtheFurious†,English,USA,38000000,2001,6.7,Action
DavidFincher,166,127490802,Drama|Fantasy|Romance,TheCuriousCaseofBenjaminButton†,English,USA,150000000,2008,7.8,Drama
MatthewVaughn,132,146405371,Action|Adventure|Sci-Fi,X-Men:FirstClass†,English,USA,160000000,2011,7.8,Action
FrancisLawrence,137,281666058,Adventure|Sci-Fi,TheHungerGames:Mockingjay-Part2†,English,USA,160000000,2015,6.6,Adventure
JonTurteltaub,109,63143812,Action|Adventure|Family|Fantasy,TheSorcerer'sApprentice†,English,USA,150000000,2010,6.1,Action
WolfgangPetersen,98,60655503,Action|Adventure|Drama|Thriller,Poseidon†,English,USA,160000000,2006,5.6,Action
JamesBobin,113,76846624,Adventure|Family|Fantasy,AliceThroughtheLookingGlass†,English,USA,170000000,2016,6.4,Adventure
ChrisMiller,93,320706665,Adventure|Animation|Comedy|Family|Fantasy,ShrektheThird†,English,USA,160000000,2007,6.1,Adventure
DuncanJones,123,46978995,Action|Adventure|Fantasy,Warcraft†,English,USA,160000000,2016,7.3,Action
AlanTaylor,126,89732035,Action|Adventure|Sci-Fi,TerminatorGenisys†,English,USA,155000000,2015,6.6,Action
MichaelApted,113,104383624,Adventure|Family|Fantasy,TheChroniclesofNarnia:TheVoyageoftheDawnTreader†,English,USA,155000000,2010,6.3,Adventure
MichaelBay,184,198539855,Action|Drama|History|Romance|War,PearlHarbor†,English,USA,140000000,2001,6.1,Action
MichaelBay,144,318759914,Action|Adventure|Sci-Fi,Transformers†,English,USA,150000000,2007,7.1,Action
OliverStone,206,34293771,Action|Adventure|Biography|Drama|History|Romance|War,Alexander†,English,Germany,155000000,2004,5.5,Action
DavidYates,138,292000866,Adventure|Family|Fantasy|Mystery,HarryPotterandtheOrderofthePhoenix†,English,UK,150000000,2007,7.5,Adventure
MikeNewell,157,289994397,Adventure|Family|Fantasy|Mystery,HarryPotterandtheGobletofFire†,English,UK,150000000,2005,7.6,Adventure
PeterBerg,102,227946274,Action|Drama,Hancock†,English,USA,150000000,2008,6.4,Action
FrancisLawrence,104,256386216,Drama|Horror|Sci-Fi,IAmLegend†,English,USA,150000000,2007,7.2,Drama
TimBurton,115,206456431,Adventure|Comedy|Family|Fantasy,CharlieandtheChocolateFactory†,English,USA,150000000,2005,6.7,Adventure
BradBird,111,206435493,Animation|Comedy|Family|Fantasy,Ratatouille†,English,USA,150000000,2007,8,Animation
ChristopherNolan,128,205343774,Action|Adventure,BatmanBegins†,English,USA,150000000,2005,8.3,Action
EricDarnell,89,179982968,Action|Adventure|Animation|Comedy|Family,Madagascar:Escape2Africa†,English,USA,150000000,2008,6.7,Action
ShawnLevy,105,177243721,Adventure|Comedy|Family|Fantasy,NightattheMuseum:BattleoftheSmithsonian†,English,USA,150000000,2009,5.9,Adventure
GavinHood,119,179883016,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-MenOrigins:Wolverine†,English,USA,150000000,2009,6.7,Action
LanaWachowski,129,139259759,Action|Sci-Fi,TheMatrixRevolutions†,English,Australia,150000000,2003,6.7,Action
ChrisBuck,102,400736600,Adventure|Animation|Comedy|Family|Fantasy|Musical,Frozen†,English,USA,150000000,2013,7.6,Adventure
LanaWachowski,138,281492479,Action|Sci-Fi,TheMatrixReloaded†,English,USA,150000000,2003,7.2,Action
AlanTaylor,112,206360018,Action|Adventure|Fantasy,Thor:TheDarkWorld†,English,USA,170000000,2013,7.1,Action
GeorgeMiller,120,153629485,Action|Adventure|Sci-Fi|Thriller,MadMax:FuryRoad†,English,Australia,150000000,2015,8.1,Action
RonHoward,146,133375846,Mystery|Thriller,Angels&Demons†,English,USA,150000000,2009,6.7,Mystery
KennethBranagh,115,181015141,Action|Adventure|Fantasy,Thor†,English,USA,150000000,2011,7,Action
ByronHoward,96,114053579,Adventure|Animation|Comedy|Drama|Family,Bolt†,English,USA,150000000,2008,6.9,Adventure
HoytYeatman,88,119420252,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,G-Force†,English,USA,150000000,2009,5.1,Action
JonathanLiebesman,99,83640426,Action|Adventure|Fantasy,WrathoftheTitans†,English,USA,150000000,2012,5.8,Action
TimBurton,113,79711678,Comedy|Fantasy|Horror,DarkShadows†,English,USA,100000000,2012,6.2,Comedy
ChristopherMcQuarrie,131,195000874,Action|Adventure|Thriller,Mission:Impossible-RogueNation†,English,China,150000000,2015,7.4,Action
JoeJohnston,119,61937495,Drama|Fantasy|Horror|Thriller,TheWolfman†,English,USA,150000000,2010,5.8,Drama
DavidYates,110,124051759,Action|Adventure|Drama|Romance,TheLegendofTarzan†,English,USA,180000000,2016,6.6,Action
SteveHickner,91,126597121,Adventure|Animation|Comedy|Family,BeeMovie†,English,USA,150000000,2007,6.2,Adventure
JenniferYuhNelson,90,165230261,Action|Adventure|Animation|Comedy|Family,KungFuPanda2†,English,USA,150000000,2011,7.3,Action
M.NightShyamalan,103,131564731,Action|Adventure|Family|Fantasy,TheLastAirbender†,English,USA,150000000,2010,4.2,Action
J.J.Abrams,124,133382309,Action|Adventure|Thriller,Mission:ImpossibleIII†,English,USA,150000000,2006,6.9,Action
RolandEmmerich,131,73103784,Action|Drama|Thriller,WhiteHouseDown†,English,USA,150000000,2013,6.4,Action
SimonWells,88,21379315,Action|Adventure|Animation|Comedy|Family|Sci-Fi,MarsNeedsMoms†,English,USA,150000000,2011,5.4,Action
DavidBowers,85,64459316,Adventure|Animation|Comedy|Family,FlushedAway†,English,UK,149000000,2006,6.7,Adventure
JoeWright,111,34964818,Adventure|Family|Fantasy,Pan†,English,USA,150000000,2015,5.8,Adventure
RobMinkoff,92,111505642,Adventure|Animation|Comedy|Family|Sci-Fi,Mr.Peabody&Sherman†,English,USA,145000000,2014,6.9,Adventure
WolfgangPetersen,196,133228348,Adventure,Troy†,English,USA,175000000,2004,7.2,Adventure
EricDarnell,93,216366733,Adventure|Animation|Comedy|Family,Madagascar3:Europe'sMostWanted†,English,USA,145000000,2012,6.9,Adventure
LeeTamahori,133,160201106,Action|Adventure|Thriller,DieAnotherDay†,English,UK,142000000,2002,6.1,Action
PaulFeig,116,118099659,Action|Comedy|Fantasy|Sci-Fi,Ghostbusters†,English,USA,144000000,2016,5.5,Action
MichaelBay,153,201573391,Action|Adventure|Sci-Fi|Thriller,Armageddon†,English,USA,140000000,1998,6.6,Action
BarrySonnenfeld,88,190418803,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,MeninBlackII†,English,USA,140000000,2002,6.1,Action
RobertZemeckis,115,82161969,Action|Adventure|Animation|Fantasy,Beowulf†,English,USA,150000000,2007,6.3,Action
AlessandroCarloni,95,143523463,Action|Adventure|Animation|Comedy|Family,KungFuPanda3†,English,USA,145000000,2016,7.2,Action
BradBird,133,209364921,Action|Adventure|Thriller,Mission:Impossible-GhostProtocol†,English,USA,145000000,2011,7.4,Action
PeterRamsey,97,103400692,Adventure|Animation|Family|Fantasy,RiseoftheGuardians†,English,USA,145000000,2012,7.3,Adventure
DeanParisot,90,110332737,Comedy|Crime,FunwithDickandJane†,English,USA,100000000,2005,6.1,Comedy
EdwardZwick,154,111110575,Action|Drama|History|War,TheLastSamurai†,English,USA,140000000,2003,7.7,Action
RidleyScott,150,65007045,Action|Adventure|Drama,Exodus:GodsandKings†,English,UK,140000000,2014,6.1,Action
J.J.Abrams,127,257704099,Action|Adventure|Sci-Fi,StarTrek†,English,USA,150000000,2009,8,Action
SamRaimi,121,403706375,Action|Adventure|Fantasy|Romance,Spider-Man†,English,USA,139000000,2002,7.3,Action
DeanDeBlois,102,176997107,Action|Adventure|Animation|Comedy|Family|Fantasy,HowtoTrainYourDragon2†,English,USA,145000000,2014,7.9,Action
AlexProyas,126,31141074,Action|Adventure|Fantasy,GodsofEgypt†,English,USA,140000000,2016,5.5,Action
RobCohen,121,31704416,Action|Adventure|Sci-Fi|Thriller,Stealth†,English,USA,135000000,2005,5,Action
ZackSnyder,215,107503316,Action|Drama|Mystery|Sci-Fi,Watchmen†,English,USA,130000000,2009,7.7,Action
RichardDonner,127,129734803,Action|Crime|Thriller,LethalWeapon4†,English,USA,140000000,1998,6.6,Action
AngLee,138,132122995,Action|Sci-Fi,Hulk†,English,USA,137000000,2003,5.7,Action
JonM.Chu,122,122512052,Action|Adventure|Sci-Fi|Thriller,G.I.Joe:Retaliation†,English,USA,130000000,2013,5.8,Action
BreckEisner,124,68642452,Action|Adventure|Comedy|Thriller,Sahara†,English,UK,130000000,2005,6,Action
HironobuSakaguchi,106,32131830,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,FinalFantasy:TheSpiritsWithin†,English,USA,137000000,2001,6.4,Action
JoeJohnston,124,176636816,Action|Adventure|Sci-Fi,CaptainAmerica:TheFirstAvenger†,English,USA,140000000,2011,6.9,Action
MichaelApted,128,126930660,Action|Adventure|Thriller,TheWorldIsNotEnough†,English,UK,135000000,1999,6.4,Action
PeterWeir,138,93926386,Action|Adventure|Drama|History|War,MasterandCommander:TheFarSideoftheWorld†,English,USA,150000000,2003,7.4,Action
BillCondon,115,292298923,Adventure|Drama|Fantasy|Romance,TheTwilightSaga:BreakingDawn-Part2†,English,USA,120000000,2012,5.5,Adventure
GeorgeMiller,100,63992328,Animation|Comedy|Family|Musical,HappyFeet2†,English,Australia,135000000,2011,5.9,Animation
LouisLeterrier,135,134518390,Action|Adventure|Sci-Fi,TheIncredibleHulk†,English,USA,150000000,2008,6.8,Action
StevenSpielberg,117,52792307,Adventure|Family|Fantasy,TheBFG†,English,UK,140000000,2016,6.8,Adventure
AlejandroG.I√±√°rritu,156,183635922,Adventure|Drama|Thriller|Western,TheRevenant†,English,USA,135000000,2015,8.1,Adventure
DavidSoren,96,83024900,Adventure|Animation|Comedy|Family|Sport,Turbo†,English,USA,135000000,2013,6.5,Adventure
GoreVerbinski,107,123207194,Adventure|Animation|Comedy|Family|Western,Rango†,English,USA,135000000,2011,7.2,Adventure
EricDarnell,92,83348920,Adventure|Animation|Comedy|Family,PenguinsofMadagascar†,English,USA,132000000,2014,6.7,Adventure
PaulGreengrass,115,227137090,Action|Mystery|Thriller,TheBourneUltimatum†,English,USA,110000000,2007,8.1,Action
MarkOsborne,92,215395021,Action|Adventure|Animation|Comedy|Family,KungFuPanda†,English,USA,130000000,2008,7.6,Action
PeytonReed,117,180191634,Action|Adventure|Comedy|Sci-Fi,Ant-Man†,English,USA,130000000,2015,7.4,Action
FrancisLawrence,146,424645577,Adventure|Sci-Fi|Thriller,TheHungerGames:CatchingFire†,English,USA,130000000,2013,7.6,Adventure
BillCondon,115,292298923,Adventure|Drama|Fantasy|Romance,TheTwilightSaga:BreakingDawn-Part2†,English,USA,120000000,2012,5.5,Adventure
TimJohnson,94,177343675,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Home†,English,USA,135000000,2015,6.7,Adventure
StevenSpielberg,116,234277056,Adventure|Sci-Fi|Thriller,WaroftheWorlds†,English,USA,132000000,2005,6.5,Adventure
MichaelBay,147,138396624,Action|Comedy|Crime|Thriller,BadBoysII†,English,USA,130000000,2003,6.6,Action
ChrisMiller,90,149234747,Action|Adventure|Animation|Comedy|Family|Fantasy,PussinBoots†,English,USA,130000000,2011,6.7,Action
PhillipNoyce,101,118311368,Action|Crime|Mystery|Thriller,Salt†,English,USA,110000000,2010,6.4,Action
DarrenAronofsky,138,101160529,Action|Adventure|Drama,Noah†,English,USA,125000000,2014,5.8,Action
StevenSpielberg,107,77564037,Action|Adventure|Family|Mystery,TheAdventuresofTintin†,English,USA,135000000,2011,7.4,Action
AlfonsoCuar√≥n,142,249358727,Adventure|Family|Fantasy|Mystery,HarryPotterandthePrisonerofAzkaban†,English,UK,130000000,2004,7.8,Adventure
BazLuhrmann,165,49551662,Adventure|Drama|Romance|War,Australia†,English,Australia,130000000,2008,6.6,Adventure
M.NightShyamalan,100,60522097,Action|Adventure|Sci-Fi,AfterEarth†,English,USA,130000000,2013,4.9,Action
EricLeighton,82,137748063,Adventure|Animation|Family|Thriller,Dinosaur†,English,USA,127500000,2000,6.5,Adventure
ShawnLevy,98,113733726,Adventure|Comedy|Family|Fantasy,NightattheMuseum:SecretoftheTomb†,English,USA,127000000,2014,6.2,Adventure
TomMcGrath,95,148337537,Action|Animation|Comedy|Family|Sci-Fi,Megamind†,English,USA,130000000,2010,7.3,Action
ChrisColumbus,159,317557891,Adventure|Family|Fantasy,HarryPotterandtheSorcerer'sStone†,English,UK,125000000,2001,7.5,Adventure
RobertSchwentke,96,33592415,Action|Comedy|Fantasy,R.I.P.D.†,English,USA,130000000,2013,5.6,Action
GoreVerbinski,143,305388685,Action|Adventure|Fantasy,PiratesoftheCaribbean:TheCurseoftheBlackPearl†,English,USA,140000000,2003,8.1,Action
FrancisLawrence,123,337103873,Adventure|Sci-Fi|Thriller,TheHungerGames:Mockingjay-Part1†,English,USA,125000000,2014,6.7,Adventure
RonHoward,174,217536138,Mystery|Thriller,TheDaVinciCode†,English,USA,125000000,2006,6.6,Mystery
CarlosSaldanha,101,131536019,Adventure|Animation|Comedy|Family|Musical,Rio2†,English,USA,103000000,2014,6.4,Adventure
BryanSinger,134,214948780,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men2†,English,Canada,110000000,2003,7.5,Action
JustinLin,132,209805005,Action|Crime|Thriller,FastFive†,English,USA,125000000,2011,7.3,Action
GuyRitchie,129,186830669,Action|Adventure|Crime|Mystery|Thriller,SherlockHolmes:AGameofShadows†,English,USA,125000000,2011,7.5,Action
LouisLeterrier,106,163192114,Action|Adventure|Fantasy,ClashoftheTitans†,English,USA,125000000,2010,5.8,Action
PaulVerhoeven,113,119412921,Action|Sci-Fi,TotalRecall†,English,USA,65000000,1990,7.5,Action
JohnMcTiernan,102,32694788,Action|Adventure|History,The13thWarrior†,English,USA,85000000,1999,6.6,Action
TonyGilroy,135,113165635,Action|Adventure|Thriller,TheBourneLegacy†,English,USA,125000000,2012,6.7,Action
JoelSchumacher,125,107285004,Action,Batman&Robin†,English,USA,125000000,1997,3.7,Action
RonHoward,110,260031035,Comedy|Family|Fantasy,HowtheGrinchStoleChristmas†,English,USA,123000000,2000,6,Comedy
RolandEmmerich,124,186739919,Action|Adventure|Sci-Fi|Thriller,TheDayAfterTomorrow†,English,USA,125000000,2004,6.4,Action
JohnWoo,123,215397307,Action|Adventure|Thriller,Mission:ImpossibleII†,English,USA,125000000,2000,6.1,Action
WolfgangPetersen,130,182618434,Action|Adventure|Drama|Thriller,ThePerfectStorm†,English,USA,140000000,2000,6.4,Action
TimStory,92,131920333,Action|Adventure|Sci-Fi|Thriller,Fantastic4:RiseoftheSilverSurfer†,English,USA,130000000,2007,5.6,Action
AngLee,127,124976634,Adventure|Drama|Fantasy,LifeofPi†,English,USA,120000000,2012,8,Adventure
MarkStevenJohnson,123,115802596,Action|Fantasy|Thriller,GhostRider†,English,USA,110000000,2007,5.2,Action
PaulGreengrass,123,108521835,Action|Thriller,JasonBourne†,English,UK,120000000,2016,7.1,Action
McG,107,100685880,Action|Adventure|Comedy|Crime,Charlie'sAngels:FullThrottle†,English,USA,120000000,2003,4.8,Action
RidleyScott,124,126464904,Adventure|Mystery|Sci-Fi,Prometheus†,English,USA,130000000,2012,7,Adventure
RobMinkoff,77,64736114,Adventure|Animation|Comedy|Family|Fantasy,StuartLittle2†,English,USA,120000000,2002,5.4,Adventure
NeillBlomkamp,109,93050117,Action|Drama|Sci-Fi|Thriller,Elysium†,English,USA,115000000,2013,6.6,Action
DavidTwohy,134,57637485,Action|Adventure|Sci-Fi|Thriller,TheChroniclesofRiddick†,English,USA,105000000,2004,6.7,Action
